2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/jpeg, jpg
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/jpeg, jpe
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/jpeg, JPG
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/tiff, tiff
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/tiff, tif
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/x-xwindowdump, xwd
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: application/postscript, ai
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: application/postscript, eps
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: application/postscript, ps
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: application/rtf, rtf
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: application/x-tex, tex
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: application/x-texinfo, texinfo
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: application/x-texinfo, texi
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: application/x-troff, t
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: application/x-troff, tr
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: application/x-troff, roff
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: audio/basic, au
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: audio/midi, midi
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: audio/midi, mid
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: audio/x-aifc, aifc
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: audio/x-aiff, aif
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: audio/x-aiff, aiff
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: audio/x-mpeg, mpeg
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: audio/x-mpeg, mpg
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: audio/x-wav, wav
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: video/mpeg, mpeg
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: video/mpeg, mpg
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: video/mpeg, mpe
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: video/quicktime, qt
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: video/quicktime, mov
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: video/x-msvideo, avi
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: text/x-speech, talk
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: text/css, css
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: text/csv, csv
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/x-xbitmap, xbm
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/x-xpixmap, xpm
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/png, png
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/svg+xml, svg
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/ief, ief
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/rgb, rgb
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/g3fax, g3f
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/x-xwindowdump, xwd
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/x-pict, pict
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/x-portable-pixmap, ppm
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/x-portable-graymap, pgm
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/x-portable-bitmap, pbm
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/x-portable-anymap, pnm
2024-11-18 08:44:36.241 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/x-ms-bmp, bmp
2024-11-18 08:44:36.242 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/x-cmu-raster, ras
2024-11-18 08:44:36.242 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/x-photo-cd, pcd
2024-11-18 08:44:36.242 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/cgm, cgm
2024-11-18 08:44:36.242 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/x-cals, mil
2024-11-18 08:44:36.242 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/x-cals, cal
2024-11-18 08:44:36.242 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/fif, fif
2024-11-18 08:44:36.242 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/x-mgx-dsf, dsf
2024-11-18 08:44:36.242 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/x-cmx, cmx
2024-11-18 08:44:36.242 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/wavelet, wi
2024-11-18 08:44:36.242 [main] DEBUG javax.activation - Added: MIMETypeEntry: image/vnd.dwg, dwg
